ID,Bleed_date,Who,Bleed_stage,Mass,#1,#2,#3,#4,#5,#6,#7,#8,TotalHemo,AvgHemo,Hemo_ul,LogHemo,G,P,S,O,PropPlasm,PropOeno,PropGran,PropSpher,Notes
138,11-Jun,MRS,Pupa,1.3485,2,7,4,1,0,3,8,0,25,3.125,312.5,2.496237545,,,,,,,,,
140,10-Jun,MRS,Pupa,1.227,2,2,0,0,2,2,4,0,12,1.5,150,2.178976947,,,,,,,,,5m
141,9-Jun,SA,Pupa,0.9777,0,0,0,1,2,4,0,0,7,0.875,87.5,1.946943271,,,,,,,,,
147,10-Jun,MRS,Pupa,1.2927,0,0,0,0,0,0,0,0,,,,,,,,,,,,,Lipid Contamination
151,13-Jun,SA,Pupa,1.5004,5,10,16,7,13,8,4,10,73,9.125,912.5,2.960708552,,,,,,,,,
157,13-Jun,SA,Pupa,1.5448,1,2,2,2,1,0,0,4,12,1.5,150,2.178976947,,,,,,,,,
163,11-Jun,MRS,Pupa,1.6226,1,1,0,2,2,3,0,1,10,1.25,125,2.100370545,,,,,,,,,Lipid Contamination
166,13-Jun,SA,Pupa,1.3991,4,5,6,2,6,3,4,5,35,4.375,437.5,2.641969598,,,,,,,,,
169,11-Jun,MRS,Pupa,1.2872,3,17,12,21,11,6,8,5,83,10.375,1037.5,3.016406501,,,,,,,,,Lipid Contamination
170,11-Jun,MRS,Pupa,1.4627,5,2,4,0,5,6,3,3,28,3.5,350,2.545307116,,,,,,,,,Lipid Contamination
171,10-Jun,MRS,Pupa,1.4248,6,5,6,0,3,2,2,3,27,3.375,337.5,2.529558673,,,,,,,,,15 spores
184,11-Jun,MRS,Pupa,1.2919,6,4,3,2,0,3,0,0,18,2.25,225,2.354108439,,,,,,,,,Melanized 
185,11-Jun,MRS,Pupa,1.2296,0,0,1,0,0,0,0,0,1,0.125,12.5,1.130333768,,,,,,,,,Nothing…
192,11-Jun,MRS,Pupa,1.2443,2,3,0,0,0,0,0,2,7,0.875,87.5,1.946943271,,,,,,,,,
193,11-Jun,MRS,Pupa,1.3524,2,0,1,3,1,2,0,0,9,1.125,112.5,2.054995862,,,,,,,,,
202,11-Jun,MRS,Pupa,1.4441,0,6,3,2,4,5,7,2,29,3.625,362.5,2.560504415,,,,,,,,,Lipid Contamination; Melanizing
208,11-Jun,MRS,Pupa,1.3989,7,8,6,4,2,9,3,3,42,5.25,525,2.720985744,,,,,,,,,Lipid Contamination
210,11-Jun,MRS,Pupa,1.0668,6,6,6,1,3,2,4,4,32,4,400,2.603144373,,,,,,,,,
218,11-Jun,MRS,Pupa,1.3904,8,9,15,2,5,2,7,5,53,6.625,662.5,2.821840927,,,,,,,,,Lipid Contamination
